# GenSrpG Phase 2 — inline global last owners
# sourceIndexBlob=6c95e3f6ca4bf8e34003776e7e43e44192aafb16
# scope=explicit window.<name> assignments in 119 active inline blocks
# distinctGlobals=436 assignments=760 multiOwnerGlobals=119
# name	assignmentCount	lastOwner
dc033CloseGameOverToCore	1	dungeonCore033RecoveryAndGameOverFix
dc033ForceHome	3	dungeonCore304DefeatExit
dc033GameOver	1	dungeonCore033RecoveryAndGameOverFix
dc034RootHome	1	dungeonCore034NavigationAndCombatHostFix
dc036AllowCombatClose	4	dungeonCore103StabilityPass
dc036ContinueAi	2	dungeonCore043MjCombatFlow
dc037AllowAdvance	2	dungeonCore037PlayerTurnGate
dc040VictoryOpen	6	dungeonCore103StabilityPass
dc045ApplyHeroCombatMode	3	dungeonCore050CombatAndEntrance
dc045HeroCombatEnabled	2	dungeonCore050CombatAndEntrance
dc046AddEffect	1	dungeonCore046ManualMjAssist
dc046EnemyHp	1	dungeonCore046ManualMjAssist
dc046OpenEnemies	1	dungeonCore046ManualMjAssist
dc046RemoveEffect	1	dungeonCore046ManualMjAssist
dc046TickEffects	1	dungeonCore046ManualMjAssist
dc047AnswerPuzzle	2	dungeonCore048ExplorationTests
dc047Puzzle	2	dungeonCore051ExplorationPolish
dc047ResolveStealth	3	dungeonCore200Rebuild
dc047StealthPrompt	2	dungeonCore048ExplorationTests
dc048OpenTrap	1	dungeonCore048ExplorationTests
dc048TrapActionRoll	1	dungeonCore048ExplorationTests
dc048TrapDetectRoll	1	dungeonCore048ExplorationTests
dc048TrapDetected	1	dungeonCore048ExplorationTests
dc048TrapManualFinish	1	dungeonCore048ExplorationTests
dc048TrapResistanceFinish	1	dungeonCore048ExplorationTests
dc048TrapTrigger	1	dungeonCore048ExplorationTests
dc049TrapPowerLabel	1	dungeonCore049TrapPowerConfig
dc050CombatTimer	1	dungeonCore050CombatAndEntrance
dc050RefreshCombat	1	dungeonCore050CombatAndEntrance
dc051AddAllChallenges069	1	dungeonCore051ExplorationPolish
dc051AddChallengeEditor	1	dungeonCore051ExplorationPolish
dc051AddSelectedChallenge069	1	dungeonCore051ExplorationPolish
dc051ClearChallenges069	1	dungeonCore051ExplorationPolish
dc051CloseChallengeLibrary069	1	dungeonCore051ExplorationPolish
dc051CollectChallenges	1	dungeonCore051ExplorationPolish
dc051DeleteChallenge	1	dungeonCore051ExplorationPolish
dc051DeleteLibraryChallenge069	1	dungeonCore051ExplorationPolish
dc051ExportChallenges069	1	dungeonCore051ExplorationPolish
dc051FinishChallenge	3	dungeonCore053Stability
dc051ImportChallenges069	1	dungeonCore051ExplorationPolish
dc051LoadChallengeEditor	1	dungeonCore051ExplorationPolish
dc051NewChallenge069	1	dungeonCore051ExplorationPolish
dc051OpenChallenge	2	dungeonCore201Stability
dc051OpenChallengeLibrary069	1	dungeonCore051ExplorationPolish
dc051OpenMerchant	1	dungeonCore051ExplorationPolish
dc051RemoveSelectedChallenge069	1	dungeonCore051ExplorationPolish
dc051RenderChallengeEditor	1	dungeonCore051ExplorationPolish
dc051RenderChallengeLibrary069	1	dungeonCore051ExplorationPolish
dc051ResolveChallenge	1	dungeonCore051ExplorationPolish
dc051RollStatChallenge	1	dungeonCore051ExplorationPolish
dc051SaveChallenge069	1	dungeonCore051ExplorationPolish
dc051SelectChallengeLibrary069	1	dungeonCore051ExplorationPolish
dc051UpdateChallenge	1	dungeonCore051ExplorationPolish
dc052EnterBranch	2	dungeonCore104Coherence
dc052OpenBranch	1	dungeonCore052SpecialExploration
dc053MainActionTimer	1	dungeonCore053Stability
dc053ResolveDoor	1	dungeonCore053Stability
dc076StartAmbushCombat	3	dungeonCore098IsolatedMovement
dc077MaybeCreateObjective	1	dungeonCore077Objectives
dc080RerenderMap	1	dungeonCore080FinalMapRenderer
dc099EngageCombat	1	dungeonCore104Coherence
dc099Paint	1	dungeonCore105MovementRenderFix
dc099SyncMainAction	1	dungeonCore104Coherence
dc103SearchChest	1	dungeonCore103StabilityPass
dc104EngageCell	1	dungeonCore104Coherence
dc104FinishVictory	2	dungeonCore105MovementRenderFix
dc104Notice	1	dungeonCore104Coherence
dc104RoomRule	2	dungeonCore105MovementRenderFix
dc104SearchChest	1	dungeonCore104Coherence
dc104StartCombat	1	dungeonCore104Coherence
dc104SyncMain	2	dungeonCore105MovementRenderFix
dc105RepaintMovement	2	dungeonCore105MovementRenderFix
dc105SyncReachVisual	1	dungeonCore105MovementRenderFix
dc200EnterBranch	1	dungeonCore200Rebuild
dc200LeaveBranch	1	dungeonCore200Rebuild
dc200StartCombat	1	dungeonCore200Rebuild
dc201OpenPuzzle	1	dungeonCore201Stability
dc201PuzzleAnswer	1	dungeonCore201Stability
dc201PuzzleRoll	1	dungeonCore201Stability
dc201PuzzleText	1	dungeonCore201Stability
dc211CombatReload	1	dungeonCore211Consolidation
dc211CombatUnequip	1	dungeonCore211Consolidation
dc211OpenDoorPuzzle	1	dungeonCore211Consolidation
dc211TrapTest	1	dungeonCore211Consolidation
dc213OpenChest	1	dungeonCore213Stability
dc213QuitAfterDefeat	2	dungeonCore304DefeatExit
dc213Reload	1	dungeonCore213Stability
dc213Unarmed	1	dungeonCore213Stability
dc214Equip	1	dungeonCore214SingleAuthority
dc214Quit	2	dungeonCore304DefeatExit
dc214Reload	1	dungeonCore214SingleAuthority
dc304DefeatExited	12	dungeonCore308NewRunReset
dc304HardDefeatExit	4	dungeonCore304DefeatExit
dc305MovementModuleEnabled	1	dungeonCore305MovementAuthority
dc305PositionalGameplay	8	dungeonCore213Stability
dc312CloseLevelPopup	1	dungeonCore312TurnAndPopupFixes
dc315ResolveCombatWipe	2	dungeonCore303TimelineRootFix
dungeonActiveHero159	1	rpgHeroTargeting159
dungeonActiveProgressionConfig	1	dungeonCore044HeroProgression
dungeonAdvanceTurn156	9	dungeonCore303TimelineRootFix
dungeonAiLast023	4	dungeonCore036CombatPacing
dungeonAiTarget156	1	coreCombatPoolFix156
dungeonApplyDemoLootTables161	1	dungeonLootCleanup161
dungeonApplyGithubArts164	1	dungeonGithubArts164
dungeonApplyHeroDamage	2	dungeonCore213Stability
dungeonAutoArtPath164	1	dungeonGithubArts164
dungeonBindRoomChests100	1	dungeonCore100ResumeAndInteractionFix
dungeonBuildDeckState075	1	dungeonMj72_2Script
dungeonBuildOrder156	6	dungeonCore211Consolidation
dungeonBuildTimeline147	1	gensStability151
dungeonCacheDebug101	1	dungeonCore101CacheGuard
dungeonChooseAiAction147	1	gensStability151
dungeonCombatActive	4	dungeonCore304DefeatExit
dungeonCombatAttack	2	rpgHeroTargeting159
dungeonCombatBasicAttack	2	rpgHeroTargeting159
dungeonCombatFlee169	4	dungeonCore036CombatPacing
dungeonCombatRestart169	2	gensrpgDungeonFlowFix171
dungeonCombatSwitchWeapon071	3	dungeonCore211Consolidation
dungeonCombatUseActiveTalent	2	rpgHeroTargeting159
dungeonCombatUseItem061	1	dungeonCore061CombatItems
dungeonCombatVictoryHtml	1	dungeonLootCleanup161
dungeonCore093Diagnostic	1	dungeonCore093StabilityDiagnostic
dungeonCore093StateGuard	1	dungeonCore093StateGuard
dungeonCurrentTurn156	1	coreCombatPoolFix156
dungeonDebug098	1	dungeonCore098IsolatedMovement
dungeonDebug102	1	dungeonCore102RoomCycleFix
dungeonDebug103	1	dungeonCore103StabilityPass
dungeonDebug104	1	dungeonCore104Coherence
dungeonDebug105	1	dungeonCore105MovementRenderFix
dungeonDebug200	1	dungeonCore200Rebuild
dungeonDebug201	1	dungeonCore201Stability
dungeonDebug202	1	dungeonCore202ContentDensity
dungeonDebug203Enemies	1	dungeonCore203Diagnostics
dungeonDebug204Spawn	1	dungeonCore204Diagnostics
dungeonDebug205	1	dungeonCore205FinalCoherence
dungeonDebug206Chest	1	dungeonCore206ChestInteraction
dungeonDebug207ChestAlignment	1	dungeonCore207ChestAlignment
dungeonDebug208Chest	1	dungeonCore208SingleChestAuthority
dungeonDebug209	1	dungeonCore209TacticalSense
dungeonDebug210Defeat	1	dungeonCore210DefeatAuthority
dungeonDebug211	1	dungeonCore211Consolidation
dungeonDebug212	1	dungeonCore212RenderVictory
dungeonDebug213	1	dungeonCore213Stability
dungeonDebug214	1	dungeonCore214SingleAuthority
dungeonDebug303	1	dungeonCore303TimelineRootFix
dungeonDebug304	1	dungeonCore304DefeatExit
dungeonDebug305Movement	1	dungeonCore305Debug
dungeonDebug306Narrative	1	dungeonCore306NarrativeDebug
dungeonDebug309	1	dungeonCore309VisualFixes
dungeonDebug310	1	dungeonCore310PersistenceAndTokens
dungeonDebug312	1	dungeonCore312TurnAndPopupFixes
dungeonDemoGoldDrops161	1	dungeonLootCleanup161
dungeonDemoLootTables161	1	dungeonLootCleanup161
dungeonEconomyRules160	1	dungeonEconomy160
dungeonEnemies	2	dungeonGithubArts164
dungeonEnemyController147	1	gensStability151
dungeonEnemyMoveValue083	1	dungeonCore083MovementHelpers
dungeonEnsureEnemyCells104	1	dungeonCore104Coherence
dungeonEnsureLoot160	3	dungeonCore023StabilityFix
dungeonEnvironmentEditor078	1	dungeonCore078FloorSets
dungeonFloorAsset078	1	dungeonCore078FloorSets
dungeonGiveItem160	1	dungeonEconomy160
dungeonGrantChestLoot160	1	dungeonEconomy160
dungeonHandleLevelUp071	2	dungeonCore312TurnAndPopupFixes
dungeonHardUnlock103	1	dungeonCore103StabilityPass
dungeonHeroMoveValue083	1	dungeonCore083MovementHelpers
dungeonHeroTarget159	1	rpgHeroTargeting159
dungeonHeroTargets159	1	rpgHeroTargeting159
dungeonInitTurn156	3	dungeonCore029AiTurnFix
dungeonLootCatalog160	3	dungeonCore023StabilityFix
dungeonLootTableText161	1	dungeonLootCleanup161
dungeonMapHtml	7	dungeonCore080FinalMapRenderer
dungeonMerchantAvailable160	1	dungeonEconomy160
dungeonMerchantDefaultPrice066	1	dungeonMj72_2Script
dungeonMjActivateMerchant160	1	dungeonEconomy160
dungeonMjAddChest160	1	dungeonEconomy160
dungeonMjHeroTarget157	1	rpgTurnTargetFlow157
dungeonMjObjectiveTypeChanged066	1	dungeonMj72_2Script
dungeonMjRules151	1	gensStability151
dungeonMoveHero081	1	dungeonCore098IsolatedMovement
dungeonMoveHero098	4	dungeonCore105MovementRenderFix
dungeonMovementTurnChanged086	1	dungeonCore098IsolatedMovement
dungeonOpenMerchant160	1	dungeonEconomy160
dungeonPlayerEnemyTarget158	2	rpgHeroTargeting159
dungeonPostCombatUnlock091	1	dungeonCore091PostCombatUnlock
dungeonProgressKillObjectives066	1	dungeonMj72_2Script
dungeonRenderEconomyButtons160	1	dungeonEconomy160
dungeonResolveEnemyTurn147	1	gensStability151
dungeonResolvePlayerTarget158	1	rpgPlayerTargeting158
dungeonResolveTrapAgainstHero	1	dungeonCore048ExplorationTests
dungeonRollSellLoot160	1	dungeonEconomy160
dungeonRoomExitLocked102	3	dungeonCore102RoomCycleFix
dungeonRoomWeightPercent074	1	dungeonCore074EventsAndWeights
dungeonRpgEarnedSkillPoints	1	dungeonCore044HeroProgression
dungeonRpgLevelFromXp	1	dungeonCore044HeroProgression
dungeonRpgXpIntoLevel	1	dungeonCore044HeroProgression
dungeonRunAi156	12	dungeonCore303TimelineRootFix
dungeonSaveSessionProfile100	1	dungeonCore100ResumeAndInteractionFix
dungeonSelectEnemyTarget158	2	rpgHeroTargeting159
dungeonSelectHeroEnemyTarget159	1	rpgHeroTargeting159
dungeonSelectMjHeroTarget157	1	rpgTurnTargetFlow157
dungeonSessionEco160	1	dungeonEconomy160
dungeonShouldMjControl156	1	coreCombatPoolFix156
dungeonSoloDebug096	1	dungeonCore096SoloPartyGuard
dungeonSyncEnemyMarkers102	1	dungeonCore102RoomCycleFix
dungeonSyncLootImages023	1	dungeonCore023StabilityFix
dungeonSyncObjective103	1	dungeonCore103StabilityPass
dungeonTacticalMovementEnabled081	1	dungeonCore098IsolatedMovement
dungeonTacticalMovementEnabled090	1	dungeonCore098IsolatedMovement
dungeonTacticalMovementEnabled098	1	dungeonCore098IsolatedMovement
dungeonTestArt166	1	dungeonDirectImageBinding166
dungeonTimelineHtml156	2	rpgTurnTargetFlow157
dungeonTurn156	1	coreCombatPoolFix156
enemyCardHtml	3	dungeonDirectImageBinding166
ensureBuiltinMonsterCapture162	1	builtinMonsterCapture162
ensureDungeonContent	1	dungeonLootCleanup161
ensureDungeonInGameMj151	1	gensStability151
ensureDungeonMj151	1	gensStability151
ensureRpDice073	1	dungeonCore073RpDice
finishCurrentHeroTurn	1	rpgTurnTargetFlow157
finishDungeonCombatVictory	9	dungeonCore212RenderVictory
forceHome070	1	dungeonCore070StartupGuard
generateDungeonMap	2	dungeonCore060
gensAbilityUseRule	1	capturePlaytestFix128
gensApplyDungeonAccess171	1	gensrpgDungeonFlowFix171
gensApplyDungeonCombatEntry169	1	gensrpgDungeonGameplayFix169
gensCaptureBattleCreatureSnapshot	1	capturePlaytestFix128
gensCaptureStarterPool	1	captureFix130
gensCurrentCaptureBattle	2	capturePlaytestFix128
gensDungeonCreatureArt165	1	dungeonArtRenderFix165
gensDungeonManualMjMode169	1	gensrpgDungeonGameplayFix169
gensEnsureDungeonAdventureButton139	1	captureFix139
gensFilterItems151	1	gensStability151
gensHideUnselectedHeroes169	1	gensrpgDungeonGameplayFix169
gensMode151	1	gensStability151
gensNormalizeParticipants156	1	coreCombatPoolFix156
gensProfileContentFamily155	1	forceReload155
gensReconcile151	1	gensStability151
gensRenderCaptureStarterPicker	1	captureFix129
gensSelectedFamily	1	dungeonCore310PersistenceAndTokens
gensShowOutOfGameHeroes	1	gensrpgDungeonFlowFix171
gensSwitchUniverse155	1	forceReload155
gensToggleCaptureStarter	2	captureFix130
heroCombatEnabled073	1	dungeonCore073RpDice
isCaptureContext138	1	captureFix138
loadSharedEntities	2	captureFix129
markSessionActive	1	dungeonCore100ResumeAndInteractionFix
merchantBuy071	1	dungeonCore071Merchant
merchantSelectHero071	1	dungeonCore071Merchant
merchantSell071	1	dungeonCore071Merchant
openChar	1	captureFix139
openDungeonChest	1	dungeonEconomy160
openDungeonCombatStats	1	dungeonDirectImageBinding166
openDungeonCombatVictoryPopup	8	dungeonCore212RenderVictory
openDungeonMasterPanel	2	gensrpgDungeonFlowFix171
openDungeonMj151	4	gensrpgDungeonFlowFix171
openGensBuiltInGame	1	forceReload155
openMerchant	2	dungeonCore071Merchant
openSessionDungeonSetup	2	gensStability151
openZombieRule	3	dungeonDirectImageBinding166
queueDungeonRoomEvent074	1	dungeonCore074EventsAndWeights
refreshCustomEnemiesIntoZombieTypes	2	dungeonArtRenderFix165
removeInventoryEntry	1	dungeonCore062GearPortrait
renderActiveEnemies	3	dungeonDirectImageBinding166
renderAttackButtons	1	dungeonCore073RpDice
renderCaptureShop	1	captureItems141
renderCaptureTeamPanel	1	captureFix132
renderCaptureWorldHub	4	gensStability151
renderDungeonCombatRound	30	dungeonCore303TimelineRootFix
renderDungeonCombatSetup	2	dungeonCore036CombatPacing
renderDungeonGear	1	dungeonCore062GearPortrait
renderDungeonRpDice073	1	dungeonCore073RpDice
renderInventory	1	dungeonCore062GearPortrait
renderMenuStatuses	1	dungeonEconomy160
renderMerchant	1	dungeonCore071Merchant
renderMerchant071	1	dungeonCore071Merchant
renderParticipantSelector	8	coreCombatPoolFix156
renderRpgHeroProgressionCurve	1	dungeonCore044HeroProgression
renderRpgHeroProgressionPreview	1	dungeonCore044HeroProgression
renderTacticalMovement081	1	dungeonCore098IsolatedMovement
renderTacticalMovement090	1	dungeonCore098IsolatedMovement
renderTacticalMovement098	2	dungeonCore105MovementRenderFix
resolveAiAttack023	1	dungeonCore023StabilityFix
resumeGame	1	dungeonCore310PersistenceAndTokens
rollDungeonEnemyAttackSkill	4	dungeonCore043MjCombatFlow
rollDungeonRpDice073	1	dungeonCore073RpDice
saveDungeonEconomyRules160	1	dungeonEconomy160
saveDungeonMj151	8	dungeonCore050CombatAndEntrance
saveDungeonSessionEco160	1	dungeonEconomy160
saveRpgGameplayModules	2	dungeonCore045HeroCombatModule
setDeviceGameRole	2	gensrpgDungeonFlowFix171
showAbilityInfo	2	captureAbilityTruth144
showTurnPopup	1	rpgTurnTargetFlow157
startConfiguredGame	5	dungeonCore200Rebuild
startDungeonClassicCombat	3	dungeonCore045HeroCombatModule
startTurnManagerForGame	2	rpgTurnTargetFlow157
state	8	dungeonCore200Rebuild
toggleOutOfGameHeroes	2	gensrpgDungeonFlowFix171
updateDungeonSearchUi	1	dungeonEconomy160
updateGameStyleUi	4	gensStability151
